time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-23T11:58:37.820Z,38.1483,-117.9535,13.1,2.2,ml,24,47.55,0.012,0.12,nn,nn00752286,2020-06-23T12:03:02.374Z,"30 km SSE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-06-23T11:57:04.890Z,35.665,-117.5225,13.95,1.38,ml,18,150,0.1623,0.19,ci,ci39491760,2020-06-23T13:33:51.768Z,"15km ENE of Ridgecrest, CA",earthquake,0.41,0.92,0.137,19,reviewed,ci,ci
2020-06-23T11:38:24.850Z,38.7613335,-122.7306671,2.11,1.54,md,23,135,0.004547,0.05,nc,nc73414551,2020-06-23T13:22:04.678Z,"3km SE of The Geysers, CA",earthquake,0.4,0.44,0.11,8,automatic,nc,nc
2020-06-23T11:37:50.130Z,38.1847,-117.8645,6.4,1.4,ml,14,73.95,0.017,0.13,nn,nn00752280,2020-06-23T11:42:00.867Z,"31 km SE of Mina, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-06-23T11:34:13.910Z,37.7799988,-122.2340012,6.55,1.92,md,31,64,0.04533,0.07,nc,nc73414546,2020-06-23T13:27:03.711Z,"2km SSW of Oakland, CA",earthquake,0.19,0.46,0.11,32,automatic,nc,nc
2020-06-23T11:31:27.760Z,19.1958332061768,-155.472503662109,31.5,2.19,ml,45,92,,0.129999995,hv,hv72012726,2020-06-23T11:37:10.810Z,"1 km SE of P?hala, Hawaii",earthquake,0.51,0.720000029,3.41,13,automatic,hv,hv
2020-06-23T11:30:04.060Z,35.6118333,-117.403,9.49,0.96,ml,16,176,0.09219,0.2,ci,ci39491736,2020-06-23T11:33:37.529Z,"17km S of Trona, CA",earthquake,0.56,1.03,0.299,9,automatic,ci,ci
2020-06-23T11:29:14.430Z,19.2000007629395,-155.446670532227,36.0499992370605,1.86000001,md,47,125,,0.109999999,hv,hv72012716,2020-06-23T11:32:19.750Z,"3 km E of P?hala, Hawaii",earthquake,0.53,0.699999988,0.439999998,5,automatic,hv,hv
2020-06-23T11:29:07.620Z,38.1375,-118.0858,1.8,1.3,ml,11,164.88,0.043,0.07,nn,nn00752278,2020-06-23T11:38:59.770Z,"28 km S of Mina, Nevada",earthquake,,8.2,,,automatic,nn,nn
2020-06-23T11:25:14.430Z,38.179,-118.1208,1.8,0.8,ml,9,227.99,0.126,0.09,nn,nn00752276,2020-06-23T11:30:17.766Z,"23 km S of Mina, Nevada",earthquake,,11.1,,,automatic,nn,nn
2020-06-23T11:23:29.530Z,19.2040004730225,-155.407333374023,32.8300018310547,2.01,ml,48,155,,0.129999995,hv,hv72012711,2020-06-23T11:29:06.700Z,"7 km E of P?hala, Hawaii",earthquake,0.61,0.720000029,0.17,4,automatic,hv,hv
2020-06-23T11:17:28.240Z,17.935,-66.9351,13,2.33,md,16,218,0.0688,0.2,pr,pr2020175017,2020-06-23T11:30:54.158Z,"4 km SW of Guánica, Puerto Rico",earthquake,0.68,0.34,0.25,4,reviewed,pr,pr
2020-06-23T11:16:11.950Z,38.1387,-117.963,8.7,1.6,ml,12,108.84,0.034,0.12,nn,nn00752272,2020-06-23T11:26:47.835Z,"30 km SSE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-06-23T11:11:57.350Z,38.1408,-118.0865,0,1.6,ml,13,143.05,0.042,0.08,nn,nn00752268,2020-06-23T11:16:40.668Z,"27 km S of Mina, Nevada",earthquake,,9.4,,,automatic,nn,nn
2020-06-23T11:08:41.950Z,38.1542,-118.0112,4.6,1,ml,11,128.94,0.036,0.03,nn,nn00752265,2020-06-23T11:13:21.057Z,"27 km SSE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-06-23T11:08:41.210Z,33.6186667,-115.9498333,8.86,0.8,ml,12,84,0.04951,0.14,ci,ci39491728,2020-06-23T11:12:22.367Z,"10km N of North Shore, CA",earthquake,0.49,0.59,0.2,10,automatic,ci,ci
2020-06-23T11:06:36.850Z,38.1963,-117.8873,7.7,0.4,ml,10,141.71,0.04,0.05,nn,nn00752264,2020-06-23T11:09:58.341Z,"28 km SE of Mina, Nevada",earthquake,,5.5,,,automatic,nn,nn
2020-06-23T11:02:22.050Z,19.3361663818359,-155.177337646484,4.17999982833862,2.2,ml,48,83,,0.129999995,hv,hv72012661,2020-06-23T11:07:55.890Z,"13 km SSE of Volcano, Hawaii",earthquake,0.29,0.939999998,1.74,26,automatic,hv,hv
2020-06-23T11:00:26.950Z,35.8556667,-117.6725,11.18,0.51,ml,8,88,0.0728,0.13,ci,ci39491720,2020-06-23T11:04:01.946Z,"23km ESE of Little Lake, CA",earthquake,0.39,0.89,0.081,5,automatic,ci,ci
2020-06-23T11:00:00.760Z,33.0171667,-116.0063333,10.22,0.94,ml,19,138,0.1337,0.21,ci,ci39491712,2020-06-23T11:03:49.317Z,"18km SE of Ocotillo Wells, CA",earthquake,0.74,1.38,0.165,10,automatic,ci,ci
2020-06-23T10:57:41.340Z,38.1543,-118.0118,4.8,1.2,ml,12,130.27,0.037,0.03,nn,nn00752262,2020-06-23T11:08:19.009Z,"27 km SSE of Mina, Nevada",earthquake,,1,,,automatic,nn,nn
2020-06-23T10:51:09.400Z,33.6273333,-115.9563333,7.25,0.93,ml,24,59,0.03952,0.28,ci,ci39491704,2020-06-23T10:54:42.362Z,"11km N of North Shore, CA",earthquake,0.67,0.89,0.147,21,automatic,ci,ci
2020-06-23T10:49:45.900Z,36.029,-117.8778333,3.57,0.84,ml,13,141,0.02353,0.1,ci,ci39491696,2020-06-23T13:34:42.780Z,"7km ESE of Coso Junction, CA",earthquake,0.3,0.6,0.303,10,reviewed,ci,ci
2020-06-23T10:47:44.370Z,36.4555,-117.9708333,6.56,1.87,ml,22,154,0.08952,0.22,ci,ci39491688,2020-06-23T13:35:11.768Z,"17km SSE of Lone Pine, CA",earthquake,0.46,1.55,0.115,25,reviewed,ci,ci
2020-06-23T10:45:07.340Z,38.1623,-117.8692,8.2,0.5,ml,8,178.37,0.019,0.03,nn,nn00752258,2020-06-23T10:48:37.528Z,"32 km SE of Mina, Nevada",earthquake,,6.2,,,automatic,nn,nn
2020-06-23T10:37:04.850Z,38.0602,-118.0805,1.4,0.6,ml,8,186.85,0.027,0.09,nn,nn00752256,2020-06-23T10:45:18.137Z,"36 km S of Mina, Nevada",earthquake,,11.4,,,automatic,nn,nn
2020-06-23T10:35:14.490Z,38.1708,-117.7595,10.6,0.8,ml,9,94.44,0.05,0.06,nn,nn00752255,2020-06-23T10:38:38.261Z,"39 km SE of Mina, Nevada",earthquake,,9.5,,,automatic,nn,nn
2020-06-23T10:28:45.950Z,17.9705,-67.0936,11,2.91,md,21,229,0.0393,0.13,pr,pr2020175016,2020-06-23T11:52:33.040Z,"5 km W of La Parguera, Puerto Rico",earthquake,0.61,0.27,0.45,11,reviewed,pr,pr
2020-06-23T10:28:18.060Z,38.1592,-118.1675,7.2,1.4,ml,21,69.83,0.103,0.13,nn,nn00752252,2020-06-23T10:37:41.405Z,"26 km SSW of Mina, Nevada",earthquake,,11.7,,,automatic,nn,nn
2020-06-23T10:22:52.625Z,61.2918,-150.3219,23,1,ml,,,,0.68,ak,ak02081l4wa6,2020-06-23T10:28:09.670Z,"19 km WSW of Point MacKenzie, Alaska",earthquake,,1,,,automatic,ak,ak
2020-06-23T10:09:06.569Z,59.5018,-152.7313,82.3,1.8,ml,,,,0.34,ak,ak02081l20dt,2020-06-23T10:18:16.348Z,"48 km WNW of Nanwalek, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-06-23T10:07:23.460Z,38.1598,-117.8437,12.2,1.2,ml,18,70.63,0.011,0.12,nn,nn00752248,2020-06-23T10:15:20.452Z,"34 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-06-23T10:06:35.140Z,35.8721667,-117.7061667,10.08,0.97,ml,14,69,0.0794,0.08,ci,ci39491680,2020-06-23T10:10:15.947Z,"19km ESE of Little Lake, CA",earthquake,0.18,0.46,0.194,12,automatic,ci,ci
2020-06-23T10:06:07.700Z,38.3978,-118.888,5.9,1.2,ml,11,154.91,0.328,0.08,nn,nn00752247,2020-06-23T10:09:18.249Z,"26 km WSW of Hawthorne, Nevada",earthquake,,10.5,,,automatic,nn,nn
2020-06-23T10:03:00.390Z,38.821167,-122.8093338,3.02,0.63,md,16,61,0.002299,0.01,nc,nc73414536,2020-06-23T10:24:03.619Z,"7km NW of The Geysers, CA",earthquake,0.29,0.76,0.1,2,automatic,nc,nc
2020-06-23T10:02:43.562Z,59.3675,-152.1904,64.9,2,ml,,,,0.57,ak,ak02081l0l8r,2020-06-23T10:07:31.260Z,"15 km W of Nanwalek, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-06-23T09:57:01.900Z,33.1511667,-115.9371667,9.53,0.9,ml,19,73,0.102,0.2,ci,ci39491672,2020-06-23T10:00:51.077Z,"16km S of Salton City, CA",earthquake,0.44,1.64,0.113,12,automatic,ci,ci
2020-06-23T09:53:25.929Z,36.3515,-97.335,7.58,0.75,ml,35,175,0.08458340185,0.18,ok,ok2020mgrc,2020-06-23T12:36:38.276Z,"8 km NNW of Perry, Oklahoma",earthquake,,0.6,0.24,16,reviewed,ok,ok
2020-06-23T09:51:35.370Z,19.2121658325195,-155.405334472656,31.4200000762939,2,ml,54,150,,0.140000001,hv,hv72012566,2020-06-23T09:57:08.010Z,"7 km E of P?hala, Hawaii",earthquake,0.57,0.620000005,0.12,4,automatic,hv,hv
2020-06-23T09:43:53.060Z,38.8126678,-122.7926636,3.43,0.88,md,25,41,0.005126,0.02,nc,nc73414526,2020-06-23T11:37:03.049Z,"5km NW of The Geysers, CA",earthquake,0.27,0.46,0.03,3,automatic,nc,nc
2020-06-23T09:43:07.151Z,64.5009,-146.8766,19.8,3.5,ml,,,,1.26,ak,ak02081knvvb,2020-06-23T10:02:26.695Z,"2 km SSE of Salcha, Alaska",earthquake,,3.2,,,automatic,ak,ak
2020-06-23T09:42:58.337Z,64.2891,-148.3307,11.3,3.3,ml,,,,0.87,ak,ak02081knrev,2020-06-23T10:59:35.040Z,"41 km E of Clear, Alaska, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-06-23T09:26:18.280Z,38.045,-118.0565,5.3,1,ml,11,187.8,0.044,0.03,nn,nn00752240,2020-06-23T09:44:26.173Z,"38 km S of Mina, Nevada",earthquake,,4,,,automatic,nn,nn
2020-06-23T09:24:18.070Z,35.7615,-117.5451667,10.87,0.88,ml,10,161,0.06885,0.19,ci,ci39491656,2020-06-23T13:35:43.304Z,"13km W of Searles Valley, CA",earthquake,0.57,0.94,0.173,8,reviewed,ci,ci
2020-06-23T09:20:24.690Z,38.1713,-117.978,0.3,1.8,ml,9,118.45,0.025,0.04,nn,nn00752238,2020-06-23T09:27:19.139Z,"26 km SSE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-06-23T09:13:56.280Z,38.1877,-117.7512,13.1,1.3,ml,15,121.67,0.116,0.08,nn,nn00752236,2020-06-23T09:21:39.869Z,"38 km SE of Mina, Nevada",earthquake,,2.1,,,automatic,nn,nn
2020-06-23T09:12:29.170Z,34.0115,-117.1988333,14.89,0.68,ml,27,66,0.1232,0.17,ci,ci39491648,2020-06-23T09:16:15.813Z,"5km SSW of Redlands, CA",earthquake,0.28,0.69,0.165,20,automatic,ci,ci
2020-06-23T09:10:32.960Z,33.6446667,-116.619,11.65,0.62,ml,21,127,0.01953,0.12,ci,ci39491640,2020-06-23T09:14:20.801Z,"11km NNE of Anza, CA",earthquake,0.27,0.41,0.168,15,automatic,ci,ci
2020-06-23T09:07:20.330Z,35.9643333,-117.7205,7.12,1.21,ml,18,88,0.05921,0.14,ci,ci39491632,2020-06-23T13:37:11.660Z,"17km E of Little Lake, CA",earthquake,0.29,0.66,0.139,15,reviewed,ci,ci
2020-06-23T09:07:12.660Z,17.0048,-94.7585,170.02,4.3,mb,,150,2.614,0.42,us,us6000ah3p,2020-06-23T10:45:39.040Z,"13 km NW of Santa María Chimalapa, Mexico",earthquake,11.8,25.6,0.105,26,reviewed,us,us
2020-06-23T09:03:21.500Z,38.0502,-118.7658,2.1,1.2,ml,10,100.91,0.29,0.15,nn,nn00752233,2020-06-23T09:15:18.258Z,"32 km ENE of Lee Vining, California",earthquake,,1.8,,,automatic,nn,nn
2020-06-23T09:02:04.990Z,17.9558,-66.9848,5,0.97,md,21,199,0.061,0.15,pr,pr2020175015,2020-06-23T09:41:15.454Z,"6 km ESE of La Parguera, Puerto Rico",earthquake,0.42,0.25,0,1,reviewed,pr,pr
2020-06-23T09:00:50.070Z,38.1732,-117.7963,6.6,1.2,ml,15,62.36,0.057,0.13,nn,nn00752230,2020-06-23T09:04:20.251Z,"36 km SE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-06-23T08:57:11.568Z,64.6418,-149.3074,15.8,1,ml,,,,0.79,ak,ak02081k5fyt,2020-06-23T09:00:54.087Z,"9 km WNW of Four Mile Road, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-06-23T08:51:45.050Z,36.1458333,-117.9293333,3.51,1.07,ml,10,221,0.06656,0.12,ci,ci39491624,2020-06-23T13:36:14.352Z,"11km N of Coso Junction, CA",earthquake,0.47,0.66,0.221,14,reviewed,ci,ci
2020-06-23T08:50:22.320Z,38.1987,-117.9617,0.8,1.6,ml,12,98.39,0.028,0.12,nn,nn00752228,2020-06-23T09:01:38.716Z,"24 km SSE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-06-23T08:48:31.870Z,38.167,-117.9515,0.9,2,ml,19,59.1,0.02,0.35,nn,nn00752223,2020-06-23T08:56:24.363Z,"28 km SSE of Mina, Nevada",earthquake,,4.9,,,automatic,nn,nn
2020-06-23T08:46:41.740Z,38.1948,-117.865,13.7,1,ml,9,118.84,0.045,0.11,nn,nn00752222,2020-06-23T08:50:18.716Z,"30 km SE of Mina, Nevada",earthquake,,1,,,automatic,nn,nn
2020-06-23T08:45:33.990Z,38.1698,-117.9583,8.4,1.1,ml,11,92.77,0.017,0.09,nn,nn00752220,2020-06-23T08:49:38.853Z,"27 km SSE of Mina, Nevada",earthquake,,1.3,,,automatic,nn,nn
2020-06-23T08:42:32.830Z,38.2243,-117.7847,1.6,1.5,ml,22,97.89,0.083,0.15,nn,nn00752217,2020-06-23T08:46:40.746Z,"33 km ESE of Mina, Nevada",earthquake,,5.5,,,automatic,nn,nn
2020-06-23T08:37:12.190Z,38.1917,-117.7713,0.8,1.5,ml,14,74.85,0.067,0.13,nn,nn00752214,2020-06-23T08:43:38.791Z,"36 km SE of Mina, Nevada",earthquake,,10,,,automatic,nn,nn
2020-06-23T08:36:00.890Z,19.2023334503174,-155.39582824707,29.7199993133545,1.79999995,md,44,166,,0.119999997,hv,hv72012496,2020-06-23T08:39:12.580Z,"8 km E of P?hala, Hawaii",earthquake,0.48,0.819999993,1.78999996,6,automatic,hv,hv
2020-06-23T08:32:46.400Z,17.9653,-66.8233,13,2.83,md,21,183,0.0568,0.17,pr,pr2020175014,2020-06-23T09:23:17.959Z,"3 km S of Indios, Puerto Rico",earthquake,0.71,0.39,0.15,15,reviewed,pr,pr
2020-06-23T08:28:07.530Z,38.1757,-117.9678,0.3,1.1,ml,14,93.37,0.032,0.14,nn,nn00752212,2020-06-23T08:38:18.840Z,"26 km SSE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-06-23T08:24:58.090Z,35.9006667,-117.6605,10.07,0.6,ml,10,95,0.04784,0.14,ci,ci39491616,2020-06-23T08:28:31.230Z,"22km E of Little Lake, CA",earthquake,0.44,0.69,0.143,4,automatic,ci,ci
2020-06-23T08:23:58.970Z,35.8243333,-117.5935,9.38,1.02,ml,17,78,0.009173,0.13,ci,ci39491608,2020-06-23T13:36:32.774Z,"18km WNW of Searles Valley, CA",earthquake,0.34,0.5,0.096,12,reviewed,ci,ci
2020-06-23T08:21:07.950Z,19.2094993591309,-155.40283203125,31.0200004577637,2.06,ml,48,154,,0.150000006,hv,hv72012476,2020-06-23T08:26:42.900Z,"8 km E of P?hala, Hawaii",earthquake,0.68,0.730000019,0.14,3,automatic,hv,hv
2020-06-23T08:18:23.560Z,36.4478333,-117.996,5.08,1.75,ml,16,79,0.06832,0.27,ci,ci39491600,2020-06-23T08:21:57.076Z,"17km SSE of Lone Pine, CA",earthquake,0.58,1.53,0.152,21,automatic,ci,ci
2020-06-23T08:17:56.380Z,33.7065,-116.7596667,16.09,1.59,ml,65,25,0.03821,0.19,ci,ci39491592,2020-06-23T13:38:15.810Z,"5km SW of Idyllwild, CA",earthquake,0.18,0.36,0.225,28,reviewed,ci,ci
2020-06-23T08:16:24.450Z,35.6695,-117.492,9.13,0.77,ml,10,151,0.0863,0.21,ci,ci39491584,2020-06-23T08:19:54.955Z,"14km SW of Searles Valley, CA",earthquake,1.02,1.76,0.146,7,automatic,ci,ci
2020-06-23T08:14:31.710Z,33.6426667,-116.6165,12.56,0.38,ml,10,133,0.0175,0.18,ci,ci39491576,2020-06-23T13:37:20.597Z,"11km NNE of Anza, CA",earthquake,0.65,0.91,0.101,5,reviewed,ci,ci
2020-06-23T08:14:17.820Z,38.0488,-118.7287,7.5,1.8,ml,13,62.93,0.287,0.13,nn,nn00752207,2020-06-23T08:19:39.480Z,"33 km NW of Benton, California",earthquake,,12.8,,,automatic,nn,nn
2020-06-23T08:13:18.080Z,19.2223339080811,-155.408660888672,30.9099998474121,1.99000001,md,48,142,,0.129999995,hv,hv72012471,2020-06-23T08:16:25.610Z,"7 km ENE of P?hala, Hawaii",earthquake,0.64,0.829999983,0.409999996,17,automatic,hv,hv
2020-06-23T08:11:38.720Z,19.1876659393311,-155.507659912109,34.5200004577637,1.85000002,md,46,91,,0.109999999,hv,hv72012466,2020-06-23T08:14:53.670Z,"3 km WSW of P?hala, Hawaii",earthquake,0.62,0.699999988,1.39999998,10,automatic,hv,hv
2020-06-23T08:11:01.720Z,35.6136667,-117.3973333,12.51,0.96,ml,12,133,0.09247,0.21,ci,ci39491568,2020-06-23T08:14:35.437Z,"17km S of Trona, CA",earthquake,0.79,1.49,0.115,10,automatic,ci,ci
2020-06-23T08:09:19.720Z,19.2211666107178,-155.390335083008,30.3299999237061,1.97000003,md,49,152,,0.129999995,hv,hv72012461,2020-06-23T08:12:33.710Z,"9 km ENE of P?hala, Hawaii",earthquake,0.56,0.689999998,1.45000005,14,automatic,hv,hv
2020-06-23T08:07:33.250Z,38.129,-118.0147,1.1,1.5,ml,21,110.53,0.043,0.14,nn,nn00752203,2020-06-23T08:15:59.930Z,"30 km SSE of Mina, Nevada",earthquake,,1.3,,,automatic,nn,nn
2020-06-23T08:05:54.704Z,61.4466,-148.2163,242.5,2.1,ml,,,,0.92,ak,ak02081jue11,2020-06-23T08:13:03.228Z,"37 km E of Knik River, Alaska",earthquake,,1.4,,,automatic,ak,ak
2020-06-23T08:05:47.253Z,57.4056,-152.9368,0,1.9,ml,,,,0.22,ak,ak02081judhh,2020-06-23T08:13:02.734Z,"31 km NE of Old Harbor, Alaska",earthquake,,1,,,automatic,ak,ak
2020-06-23T08:03:35.530Z,32.9393333,-116.3126667,8.58,1.11,ml,33,71,0.01711,0.2,ci,ci39491560,2020-06-23T08:07:21.377Z,"24km ENE of Pine Valley, CA",earthquake,0.28,0.68,0.154,20,automatic,ci,ci
2020-06-23T08:01:33.403Z,31.5498,-104.1256,6.95,2.7,ml,,55,0.238,0.48,us,us6000ah27,2020-06-23T08:40:03.040Z,"40 km NW of Toyah, Texas",earthquake,0.6,5.1,0.085,62,reviewed,us,us
2020-06-23T07:59:35.220Z,19.2198333740234,-155.40283203125,30.9099998474121,1.95,ml,51,147,,0.129999995,hv,hv72012456,2020-06-23T08:05:09.190Z,"8 km ENE of P?hala, Hawaii",earthquake,0.55,0.649999976,4.55,4,automatic,hv,hv
2020-06-23T07:59:08.210Z,60.99,-150.8028,160.3,3,ml,,,,1.1,ak,ak02081jkgir,2020-06-23T08:10:51.781Z,"9 km NW of Point Possession, Alaska",earthquake,,5.9,,,automatic,ak,ak
2020-06-23T07:57:54.520Z,36.467,-117.994,6.67,1.92,ml,17,172,0.07455,0.26,ci,ci39491552,2020-06-23T08:01:49.343Z,"15km SSE of Lone Pine, CA",earthquake,0.56,1.34,0.157,26,automatic,ci,ci
2020-06-23T07:56:47.740Z,19.1963329315186,-155.510498046875,34.5499992370605,1.72000003,md,41,139,,0.100000001,hv,hv72012451,2020-06-23T07:59:54.550Z,"3 km WSW of P?hala, Hawaii",earthquake,0.86,0.800000012,0.860000014,3,automatic,hv,hv
2020-06-23T07:55:25.910Z,18.8878326416016,-155.679000854492,14.2799997329712,1.74000001,md,34,313,,0.360000014,hv,hv72012446,2020-06-23T07:58:26.490Z,"21 km SSW of Wai?hinu, Hawaii",earthquake,3.02,32.6300011,1.79999995,4,automatic,hv,hv
2020-06-23T07:54:48.430Z,37.9518318,-122.0746689,10.97,1.94,md,29,58,0.08813,0.05,nc,nc73414496,2020-06-23T13:20:16.618Z,"1km WNW of Pleasant Hill, CA",earthquake,0.2,0.41,0.14,22,automatic,nc,nc
2020-06-23T07:53:19.400Z,17.9593,-66.9868,5,1.3,ml,11,200,0.0583,0.13,pr,pr2020175011,2020-06-23T08:22:35.540Z,"6 km ESE of La Parguera, Puerto Rico",earthquake,0.46,0.37,0,0,reviewed,pr,pr
2020-06-23T07:44:51.060Z,36.455,-117.9848333,6.71,1.81,ml,20,143,0.07833,0.2,ci,ci39491544,2020-06-23T13:38:10.782Z,"16km SSE of Lone Pine, CA",earthquake,0.41,1.14,0.208,25,reviewed,ci,ci
2020-06-23T07:43:28.647Z,0.0565,123.797,102.29,5.9,mww,,22,1.497,0.97,us,us6000ah1z,2020-06-23T09:45:51.368Z,"97 km ESE of Gorontalo, Indonesia",earthquake,6,5.3,0.059,28,reviewed,us,us
2020-06-23T07:42:57.540Z,33.579,-116.8036667,7.22,0.29,ml,17,87,0.03613,0.13,ci,ci39491536,2020-06-23T13:38:12.782Z,"12km WNW of Anza, CA",earthquake,0.37,0.54,0.124,8,reviewed,ci,ci
2020-06-23T07:37:41.420Z,38.0137,-118.1157,0.9,0.7,ml,9,224.31,0.034,0.13,nn,nn00752194,2020-06-23T07:45:57.519Z,"38 km NE of Benton, California",earthquake,,13,,,automatic,nn,nn
